School Code,School Name,Address,City,State,Zip Code,Country
E00209,"HARVARD EXTENSION SCHOOL","51 BRATTLE STREET",CAMBRIDGE,MA,2138,USA
E00210,"HARVARD UNIVERSITY - HARVARD DIVINITY SC","45 FRANCIS AVENUE",CAMBRIDGE,MA,2138,USA
E00212,"HARVARD UNIV GRAD SCH DESIGN","48 QUINCY STR",CAMBRIDGE,MA,2138,USA
E00213,"HARVARD UNIV GRAD SCH ED","13 APPIAN WAY",CAMBRIDGE,MA,2138,USA
E00214,"HARVARD UNIV SCHL OF PUBLIC HEALTH","677 HUNTINGTON AVENUE",BOSTON,MA,2115,USA
E00215,"HARVARD KENNEDY SCHOOL","124 MT AUBURN ST",CAMBRIDGE,MA,2138,USA
E00468,"HARVARD UNIVERSITY-HARVARD COLLEGE","86 BRATTLE STREET",CAMBRIDGE,MA,2138,USA
E00470,"HARVARD UNIV GRAD S OF ARTS & SCIEN","1350 MASSACHUSETTS AVE",CAMBRIDGE,MA,2138,USA
E00471,"HARVARD LAW SCHOOL","1563 MASS AVE",CAMBRIDGE,MA,2138,USA
E00472,"HARVARD UNIV MEDICAL SCHOOL","25 SHATTUCK ST",BOSTON,MA,2115,USA
E00507,"HARVARD BUSINESS SCHOOL","SPANGLER CTR",BOSTON,MA,2163,USA
E00508,"HARVARD SCH OF DENTAL MEDICINE","188 LONGWOOD AVE",BOSTON,MA,2115,USA
2155,"HARVARD UNIVERSITY","86 BRATTLE ST",CAMBRIDGE,MA,2138,USA